Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,19/08/1995,Aston Villa,Man United,3,1,H,3,0,H
E0,19/08/1995,Blackburn,QPR,1,0,H,1,0,H
E0,19/08/1995,Chelsea,Everton,0,0,D,0,0,D
E0,19/08/1995,Liverpool,Sheffield Weds,1,0,H,0,0,D
E0,19/08/1995,Man City,Tottenham,1,1,D,0,1,A
E0,19/08/1995,Newcastle,Coventry,3,0,H,1,0,H
E0,19/08/1995,Southampton,Nott'm Forest,3,4,A,1,3,A
E0,19/08/1995,West Ham,Leeds,1,2,A,1,0,H
E0,19/08/1995,Wimbledon,Bolton,3,2,H,2,2,D
E0,20/08/1995,Arsenal,Middlesbrough,1,1,D,1,1,D
E0,21/08/1995,Leeds,Liverpool,1,0,H,0,0,D
E0,22/08/1995,Bolton,Newcastle,1,3,A,0,1,A
E0,23/08/1995,Coventry,Man City,2,1,H,1,0,H
E0,23/08/1995,Everton,Arsenal,0,2,A,0,0,D
E0,23/08/1995,Man United,West Ham,2,1,H,0,0,D
E0,23/08/1995,Nott'm Forest,Chelsea,0,0,D,0,0,D
E0,23/08/1995,QPR,Wimbledon,0,3,A,0,1,A
E0,23/08/1995,Sheffield Weds,Blackburn,2,1,H,1,0,H
E0,23/08/1995,Tottenham,Aston Villa,0,1,A,0,0,D
E0,26/08/1995,Bolton,Blackburn,2,1,H,1,0,H
E0,26/08/1995,Coventry,Arsenal,0,0,D,0,0,D
E0,26/08/1995,Everton,Southampton,2,0,H,2,0,H
E0,26/08/1995,Leeds,Aston Villa,2,0,H,1,0,H
E0,26/08/1995,Man United,Wimbledon,3,1,H,1,0,H
E0,26/08/1995,Middlesbrough,Chelsea,2,0,H,1,0,H
E0,26/08/1995,Nott'm Forest,West Ham,1,1,D,1,1,D
E0,26/08/1995,QPR,Man City,1,0,H,1,0,H
E0,26/08/1995,Tottenham,Liverpool,1,3,A,0,2,A
E0,27/08/1995,Sheffield Weds,Newcastle,0,2,A,0,0,D
E0,28/08/1995,Blackburn,Man United,1,2,A,0,0,D
E0,29/08/1995,Arsenal,Nott'm Forest,1,1,D,1,0,H
E0,30/08/1995,Aston Villa,Bolton,1,0,H,0,0,D
E0,30/08/1995,Chelsea,Coventry,2,2,D,2,1,H
E0,30/08/1995,Liverpool,QPR,1,0,H,1,0,H
E0,30/08/1995,Man City,Everton,0,2,A,0,0,D
